anomalia,tipo,grupo,anio,jurisdiccion,jurisdiccion_nombre,nacimientos,casos_total,casos_nv,casos_fm,casos_ile,casos_ne,casos_aislado,casos_acm,casos_sme,factor,prev,ic_inf,ic_sup
hlptrue,total,,2023,JUJUY,Jujuy,3990,56,53,0,3,0,28,16,12,100,1.4,1.06,1.82
hlptrue,total,,2023,LAPAMPA,La Pampa,1507,18,18,0,0,0,13,4,1,100,1.19,0.71,1.89
hlptrue,total,,2023,LARIOJA,La Rioja,2754,92,88,3,1,0,68,13,11,100,3.34,2.69,4.1
hlptrue,total,,2023,MENDOZA,Mendoza,6058,82,81,1,0,0,67,7,8,100,1.35,1.08,1.68
hlptrue,total,,2023,MISIONES,Misiones,11408,257,241,8,8,0,188,30,39,100,2.25,1.99,2.55
hlptrue,total,,2023,NEUQUEN,Neuquén,3068,45,38,2,5,0,31,7,7,100,1.47,1.07,1.96
hlptrue,total,,2023,RIONEGRO,Río Negro,1705,22,21,1,0,0,15,3,4,100,1.29,0.81,1.95
hlptrue,total,,2023,SALTA,Salta,10164,165,160,4,1,0,122,29,14,100,1.62,1.39,1.89
hlptrue,total,,2023,SANJUAN,San Juan,6090,52,46,1,0,5,29,13,10,100,0.85,0.64,1.12
hlptrue,total,,2023,SANLUIS,San Luis,2635,52,52,0,0,0,36,7,9,100,1.97,1.47,2.59
hlptrue,total,,2023,SANTACRUZ,Santa Cruz,883,24,23,0,1,0,17,1,6,100,2.72,1.74,4.04
hlptrue,total,,2023,SANTAFE,Santa Fe,16574,389,383,4,2,0,268,56,65,100,2.35,2.12,2.59
hlptrue,total,,2023,SANTIAGO,Santiago del Estero,2418,25,25,0,0,0,15,5,5,100,1.03,0.67,1.53
hlptrue,total,,2023,TIERRADELFUEGO,Tierra del Fuego,739,18,18,0,0,0,16,1,1,100,2.44,1.44,3.85
hlptrue,total,,2023,TUCUMAN,Tucumán,7186,67,67,0,0,0,41,5,21,100,0.93,0.72,1.18
hlptrue,total,,2024,ARGENTINA,Argentina,185756,3307,3104,104,94,5,2409,393,505,100,1.78,1.72,1.84
hlptrue,total,,2024,BUENOSAIRES,Buenos Aires,60912,921,869,31,19,2,653,110,158,100,1.51,1.42,1.61
hlptrue,total,,2024,CABA,CABA,25688,761,696,29,34,2,579,78,104,100,2.96,2.76,3.18
hlptrue,total,,2024,CATAMARCA,Catamarca,2138,23,23,0,0,0,19,3,1,100,1.08,0.68,1.61
hlptrue,total,,2024,CHACO,Chaco,4366,79,76,3,0,0,55,18,6,100,1.81,1.43,2.26
hlptrue,total,,2024,CHUBUT,Chubut,2758,38,37,1,0,0,30,4,4,100,1.38,0.98,1.89
hlptrue,total,,2024,CORDOBA,Córdoba,9111,143,123,4,16,0,99,19,25,100,1.57,1.32,1.85
hlptrue,total,,2024,CORRIENTES,Corrientes,5222,67,64,2,0,1,48,12,7,100,1.28,0.99,1.63
hlptrue,total,,2024,ENTRERIOS,Entre Ríos,3593,80,64,6,10,0,55,9,16,100,2.23,1.77,2.77
hlptrue,total,,2024,FORMOSA,Formosa,2225,23,22,1,0,0,13,3,7,100,1.03,0.66,1.55
hlptrue,total,,2024,JUJUY,Jujuy,3033,45,43,0,2,0,25,12,8,100,1.48,1.08,1.99
hlptrue,total,,2024,LAPAMPA,La Pampa,1510,20,19,1,0,0,14,3,3,100,1.32,0.81,2.05
hlptrue,total,,2024,LARIOJA,La Rioja,2522,91,85,1,5,0,70,9,12,100,3.61,2.91,4.43
hlptrue,total,,2024,MENDOZA,Mendoza,5327,83,82,1,0,0,63,11,9,100,1.56,1.24,1.93
hlptrue,total,,2024,MISIONES,Misiones,9764,148,136,10,2,0,97,22,29,100,1.52,1.28,1.78
hlptrue,total,,2024,NEUQUEN,Neuquén,1913,38,31,3,4,0,30,4,4,100,1.99,1.41,2.73
hlptrue,total,,2024,RIONEGRO,Río Negro,1409,25,24,1,0,0,16,6,3,100,1.77,1.15,2.62
hlptrue,total,,2024,SALTA,Salta,8755,144,142,2,0,0,108,16,20,100,1.64,1.39,1.94
hlptrue,total,,2024,SANJUAN,San Juan,5420,52,51,1,0,0,38,3,11,100,0.96,0.72,1.26
hlptrue,total,,2024,SANLUIS,San Luis,2723,63,63,0,0,0,46,8,9,100,2.31,1.78,2.96
hlptrue,total,,2024,SANTACRUZ,Santa Cruz,741,18,16,1,1,0,12,2,4,100,2.43,1.44,3.84
hlptrue,total,,2024,SANTAFE,Santa Fe,15031,362,357,4,1,0,281,28,53,100,2.41,2.17,2.67
hlptrue,total,,2024,SANTIAGO,Santiago del Estero,4148,35,35,0,0,0,26,7,2,100,0.84,0.59,1.17
hlptrue,total,,2024,TIERRADELFUEGO,Tierra del Fuego,622,19,17,2,0,0,16,2,1,100,3.05,1.84,4.77
hlptrue,total,,2024,TUCUMAN,Tucumán,6825,29,29,0,0,0,16,4,9,100,0.42,0.28,0.61
hlptrue,total,,2025,ARGENTINA,Argentina,175000,3342,3136,72,127,7,2443,375,524,100,1.91,1.85,1.98
hlptrue,total,,2025,BUENOSAIRES,Buenos Aires,54494,845,783,20,37,5,604,86,155,100,1.55,1.45,1.66
hlptrue,total,,2025,CABA,CABA,25499,765,703,16,46,0,575,76,114,100,3.0,2.79,3.22
hlptrue,total,,2025,CATAMARCA,Catamarca,879,15,15,0,0,0,12,1,2,100,1.71,0.96,2.81
hlptrue,total,,2025,CHACO,Chaco,5168,86,85,1,0,0,38,22,26,100,1.66,1.33,2.06
hlptrue,total,,2025,CHUBUT,Chubut,3258,37,35,2,0,0,20,6,11,100,1.14,0.8,1.57
hlptrue,total,,2025,CORDOBA,Córdoba,10892,143,126,2,15,0,100,24,19,100,1.31,1.11,1.55
hlptrue,total,,2025,CORRIENTES,Corrientes,4878,38,37,1,0,0,22,7,9,100,0.78,0.55,1.07
hlptrue,total,,2025,ENTRERIOS,Entre Ríos,5223,74,59,4,11,0,53,8,13,100,1.42,1.11,1.78
hlptrue,total,,2025,FORMOSA,Formosa,2643,31,29,1,1,0,23,5,3,100,1.17,0.8,1.66
hlptrue,total,,2025,JUJUY,Jujuy,2688,39,39,0,0,0,21,6,12,100,1.45,1.03,1.98
hlptrue,total,,2025,LAPAMPA,La Pampa,603,13,13,0,0,0,9,1,3,100,2.16,1.15,3.69
hlptrue,total,,2025,LARIOJA,La Rioja,1685,57,52,1,4,0,38,10,9,100,3.38,2.56,4.38
hlptrue,total,,2025,MENDOZA,Mendoza,7281,164,163,1,0,0,142,8,14,100,2.25,1.92,2.62
hlptrue,total,,2025,MISIONES,Misiones,7944,220,207,9,4,0,165,25,30,100,2.77,2.42,3.16
hlptrue,total,,2025,NEUQUEN,Neuquén,1690,51,42,2,7,0,33,11,7,100,3.02,2.25,3.97
hlptrue,total,,2025,RIONEGRO,Río Negro,912,26,25,1,0,0,20,1,5,100,2.85,1.86,4.18
hlptrue,total,,2025,SALTA,Salta,7376,134,132,0,1,1,99,12,23,100,1.82,1.52,2.15
hlptrue,total,,2025,SANJUAN,San Juan,2306,21,20,1,0,0,15,4,2,100,0.91,0.56,1.39
hlptrue,total,,2025,SANLUIS,San Luis,2441,54,53,1,0,0,43,6,5,100,2.21,1.66,2.89
hlptrue,total,,2025,SANTACRUZ,Santa Cruz,723,15,13,1,1,0,8,2,5,100,2.07,1.16,3.42
hlptrue,total,,2025,SANTAFE,Santa Fe,17073,399,391,7,0,1,318,41,40,100,2.34,2.11,2.58
hlptrue,total,,2025,SANTIAGO,Santiago del Estero,4400,47,47,0,0,0,40,3,4,100,1.07,0.78,1.42
